#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.57,1.75
2,1000,0.57,3.49
4,1000,0.57,6.99
8,1000,0.57,14.08
16,1000,0.61,26.41
32,1000,0.67,47.63
64,1000,0.81,79.32
128,1000,0.91,140.20
256,1000,1.01,254.68
512,1000,1.22,419.09
1024,1000,1.39,737.00
2048,1000,1.80,1140.68
4096,1000,2.68,1526.51
8192,1000,3.11,2630.22
16384,1000,3.66,4473.84
32768,1000,4.56,7185.20
65536,640,6.51,10067.48
131072,320,10.57,12404.11
262144,160,18.29,14334.27
524288,80,38.83,13503.70
1048576,40,99.85,10501.38
2097152,20,243.04,8628.73
4194304,10,497.22,8435.52
8388608,5,1240.99,6759.59
16777216,2,4167.46,4025.76
33554432,1,10436.26,3215.18
67108864,1,21075.06,3184.28
134217728,1,41746.65,3215.05
268435456,1,81436.58,3296.25
