#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.60,0.00
1,1000,8.64,0.12
2,1000,8.62,0.23
4,1000,8.65,0.46
8,1000,8.63,0.93
16,1000,8.60,1.86
32,1000,8.61,3.72
64,1000,8.86,7.23
128,1000,8.86,14.44
256,1000,8.93,28.66
512,1000,10.30,49.71
1024,1000,10.55,97.06
2048,1000,10.95,186.98
4096,1000,12.46,328.81
8192,1000,13.98,586.18
16384,1000,24.81,660.28
32768,1000,37.74,868.28
65536,640,57.60,1137.86
131072,320,102.67,1276.60
262144,160,127.01,2063.92
524288,80,183.24,2861.17
1048576,40,337.65,3105.54
2097152,20,673.39,3114.32
4194304,10,1326.79,3161.24
8388608,5,2620.61,3201.02
16777216,2,5358.47,3130.97
33554432,1,10898.25,3078.88
67108864,1,21614.13,3104.86
134217728,1,43406.26,3092.13
268435456,1,86122.72,3116.89
