#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.32,0.00
1,1000,2.27,0.44
2,1000,2.29,0.87
4,1000,2.28,1.75
8,1000,2.31,3.47
16,1000,2.21,7.23
32,1000,2.18,14.67
64,1000,2.05,31.18
128,1000,1.95,65.71
256,1000,2.24,114.43
512,1000,2.31,221.68
1024,1000,2.33,439.95
2048,1000,2.31,885.93
4096,1000,2.85,1437.12
8192,1000,3.00,2728.56
16384,1000,3.47,4716.62
32768,1000,4.27,7669.74
65536,640,5.71,11481.08
131072,320,8.87,14768.88
262144,160,14.62,17934.73
524288,80,31.58,16602.42
1048576,40,84.17,12458.32
2097152,20,191.56,10947.88
4194304,10,470.75,8909.78
8388608,5,1629.06,5149.35
16777216,2,3910.72,4290.06
33554432,1,7887.28,4254.25
67108864,1,15968.47,4202.59
134217728,1,31973.37,4197.80
268435456,1,63584.58,4221.71
