#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.0
1,1000,4.95,0.2
2,1000,4.94,0.41
4,1000,4.94,0.81
8,1000,4.94,1.62
16,1000,4.94,3.24
32,1000,4.94,6.48
64,1000,4.96,12.91
128,1000,4.98,25.73
256,1000,5.0,51.18
512,1000,6.69,76.56
1024,1000,6.82,150.26
2048,1000,7.09,288.95
4096,1000,7.8,525.37
8192,1000,8.59,954.63
16384,1000,15.13,1083.61
32768,1000,22.89,1433.13
65536,640,40.57,1616.38
131072,320,76.39,1717.11
262144,160,54.52,4809.12
524288,80,89.66,5847.86
1048576,40,153.38,6837.53
2097152,20,275.35,7616.45
4194304,10,606.85,6911.92
8388608,5,1452.64,5774.84
16777216,2,3167.91,5296.01
33554432,1,6476.97,5180.73
67108864,1,12894.82,5204.36
134217728,1,25605.54,5241.81
268435456,1,51167.02,5246.34
