#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.69,0.00
1,1000,0.68,1.48
2,1000,0.68,2.94
4,1000,0.67,5.95
8,1000,0.68,11.69
16,1000,0.67,23.92
32,1000,0.71,45.12
64,1000,0.69,92.25
128,1000,0.74,171.88
256,1000,0.72,357.24
512,1000,1.16,442.74
1024,1000,1.25,820.90
2048,1000,1.34,1529.13
4096,1000,1.78,2298.10
8192,1000,2.29,3574.24
16384,1000,3.55,4610.15
32768,1000,5.55,5904.79
65536,640,9.40,6972.24
131072,320,15.49,8459.16
262144,160,29.32,8942.12
524288,80,69.06,7591.79
1048576,40,133.73,7841.00
2097152,20,258.23,8121.39
4194304,10,514.17,8157.47
8388608,5,1061.72,7900.99
16777216,2,2366.56,7089.30
33554432,1,7935.67,4228.30
67108864,1,15959.82,4204.86
134217728,1,31783.87,4222.83
268435456,1,62560.30,4290.83
