#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.60,1.66
2,1000,0.59,3.37
4,1000,0.59,6.76
8,1000,0.60,13.42
16,1000,0.65,24.52
32,1000,0.74,43.33
64,1000,0.81,78.83
128,1000,0.94,136.44
256,1000,1.01,253.47
512,1000,1.03,498.20
1024,1000,1.45,705.58
2048,1000,1.76,1162.22
4096,1000,2.61,1566.54
8192,1000,3.34,2455.60
16384,1000,3.90,4203.05
32768,1000,5.08,6445.27
65536,640,6.39,10263.57
131072,320,11.35,11548.46
262144,160,19.24,13621.90
524288,80,39.63,13230.39
1048576,40,91.65,11440.55
2097152,20,215.01,9753.85
4194304,10,431.59,9718.22
8388608,5,1049.46,7993.23
16777216,2,3798.95,4416.28
33554432,1,9483.00,3538.38
67108864,1,19051.54,3522.49
134217728,1,37942.16,3537.43
268435456,1,79109.00,3393.24
