#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.48,2.09
2,1000,0.49,4.09
4,1000,0.49,8.17
8,1000,0.49,16.38
16,1000,0.49,32.89
32,1000,0.67,47.72
64,1000,0.67,95.24
128,1000,1.23,104.39
256,1000,1.25,204.20
512,1000,1.33,384.50
1024,1000,1.61,637.02
2048,1000,2.25,908.71
4096,1000,3.17,1290.36
8192,1000,4.84,1690.90
16384,1000,4.78,3428.23
32768,1000,5.88,5574.23
65536,640,7.07,9273.26
131072,320,9.51,13788.74
262144,160,15.66,16740.09
524288,80,25.65,20443.48
1048576,40,60.40,17360.21
2097152,20,160.64,13054.84
4194304,10,342.71,12238.53
8388608,5,746.74,11233.58
16777216,2,2381.09,7046.02
33554432,1,6168.94,5439.25
67108864,1,12739.73,5267.69
134217728,1,25671.65,5228.25
268435456,1,50032.34,5365.24
