#mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,0.99,2.02
4,1000,0.99,4.03
8,1000,0.98,8.12
16,1000,0.99,16.18
32,1000,1.00,31.98
64,1000,1.13,56.67
128,1000,1.17,108.95
256,1000,1.41,181.31
512,1000,1.48,346.78
1024,1000,1.64,625.71
2048,1000,2.30,890.20
4096,1000,3.17,1293.97
8192,1000,4.54,1804.17
16384,1000,6.39,2564.26
32768,1000,8.52,3848.02
65536,640,12.28,5337.26
131072,320,18.54,7068.70
262144,160,31.91,8214.26
524288,80,54.27,9660.75
1048576,40,98.56,10638.76
2097152,20,182.50,11491.23
4194304,10,352.76,11889.90
8388608,5,691.81,12125.57
16777216,2,1379.73,12159.75
33554432,1,2756.16,12174.33
67108864,1,5523.61,12149.46
134217728,1,11019.68,12179.82
268435456,1,22058.09,12169.48
