#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.0
1,1000,0.28,3.66
2,1000,0.27,7.33
4,1000,0.27,14.72
8,1000,0.27,29.4
16,1000,0.3,54.28
32,1000,0.3,107.76
64,1000,0.34,188.41
128,1000,0.38,331.73
256,1000,0.46,562.58
512,1000,0.62,831.71
1024,1000,0.73,1397.79
2048,1000,0.88,2325.48
4096,1000,1.77,2319.4
8192,1000,2.1,3911.47
16384,1000,2.67,6142.75
32768,1000,3.65,8969.65
65536,640,5.37,12226.39
131072,320,9.46,13893.26
262144,160,18.68,14043.76
524288,80,37.57,13958.15
1048576,40,87.02,12054.31
2097152,20,209.56,10009.67
4194304,10,486.27,8635.23
8388608,5,1556.53,5389.43
16777216,2,3885.65,4317.77
33554432,1,8043.3,4171.73
67108864,1,16180.63,4147.49
134217728,1,32275.3,4158.53
268435456,1,63915.91,4199.82
