#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.32,0.0
1,1000,16.37,0.06
2,1000,16.36,0.12
4,1000,16.34,0.24
8,1000,16.37,0.49
16,1000,16.37,0.98
32,1000,16.41,1.95
64,1000,16.45,3.9
128,1000,16.87,7.6
256,1000,17.08,15.0
512,1000,17.4,29.47
1024,1000,17.93,57.16
2048,1000,39.33,52.08
4096,1000,39.73,103.12
8192,1000,40.74,201.13
16384,1000,42.92,381.84
32768,1000,51.59,637.99
65536,640,61.52,1066.41
131072,320,116.57,1127.07
262144,160,158.16,1665.59
524288,80,237.02,2224.72
1048576,40,384.2,2766.88
2097152,20,717.44,2960.22
4194304,10,1506.44,2811.61
8388608,5,3277.79,2585.97
16777216,2,6638.57,2550.23
33554432,1,13160.44,2574.77
67108864,1,26320.58,2572.29
134217728,1,50922.51,2652.33
268435456,1,100499.62,2702.19
